hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
21,Mumbai,19.086115,72.85291,29.8,4.7,73,2026-06-01,Medium,Low,High
22,Mumbai,19.086115,72.85291,29.5,5.3,75,2026-06-01,Medium,Moderate,High
23,Mumbai,19.086115,72.85291,29.2,7.0,76,2026-06-01,Medium,Moderate,High
0,Mumbai,19.086115,72.85291,29.2,8.1,75,2026-06-02,Medium,Moderate,High
1,Mumbai,19.086115,72.85291,29.6,7.2,73,2026-06-02,Medium,Moderate,High
2,Mumbai,19.086115,72.85291,30.2,5.5,70,2026-06-02,Medium,Moderate,High
3,Mumbai,19.086115,72.85291,30.8,5.3,67,2026-06-02,Medium,Moderate,High
4,Mumbai,19.086115,72.85291,31.2,6.7,65,2026-06-02,Medium,Moderate,High
5,Mumbai,19.086115,72.85291,31.6,8.9,64,2026-06-02,Medium,Moderate,High
6,Mumbai,19.086115,72.85291,32.0,10.5,62,2026-06-02,Medium,High,High
7,Mumbai,19.086115,72.85291,32.3,11.8,61,2026-06-02,Hot,High,High
8,Mumbai,19.086115,72.85291,32.7,12.8,60,2026-06-02,Hot,High,Moderate
9,Mumbai,19.086115,72.85291,32.8,13.4,59,2026-06-02,Hot,High,Moderate
10,Mumbai,19.086115,72.85291,32.5,13.3,60,2026-06-02,Hot,High,Moderate
11,Mumbai,19.086115,72.85291,32.0,12.7,61,2026-06-02,Medium,High,High
12,Mumbai,19.086115,72.85291,31.6,12.0,62,2026-06-02,Medium,High,High
13,Mumbai,19.086115,72.85291,31.2,11.1,64,2026-06-02,Medium,High,High
14,Mumbai,19.086115,72.85291,30.9,10.2,65,2026-06-02,Medium,High,High
15,Mumbai,19.086115,72.85291,30.5,9.3,67,2026-06-02,Medium,Moderate,High
16,Mumbai,19.086115,72.85291,30.4,8.4,67,2026-06-02,Medium,Moderate,High
17,Mumbai,19.086115,72.85291,30.4,7.4,68,2026-06-02,Medium,Moderate,High
18,Mumbai,19.086115,72.85291,30.1,6.6,69,2026-06-02,Medium,Moderate,High
19,Mumbai,19.086115,72.85291,29.6,6.0,73,2026-06-02,Medium,Moderate,High
